player,matchDate,firstServePercentage,Aces,unforcedErrors,fspw,sspw,winners,bpcp,fset,match,Surface,numSets
Nadal,6/28/2012,66,19,16,78,63,41,75,0,0,Grass,5
Nadal,6/26/2012,64,6,18,75,59,35,66,1,1,Grass,3
Nadal,6/11/2012,61,4,29,61,53,34,52,1,1,Clay,4
Nadal,6/8/2012,60,2,16,84,57,26,70,1,1,Clay,3
Nadal,6/6/2012,66,10,16,83,50,36,50,1,1,Clay,3
Nadal,6/4/2012,69,2,13,68,75,23,80,1,1,Clay,3
Nadal,6/2/2012,59,1,16,86,51,32,50,1,1,Clay,3
Nadal,5/31/2012,68,0,17,77,70,25,46,1,1,Clay,3
Nadal,5/29/2012,54,0,18,76,68,20,77,1,1,Clay,3
Nadal,1/29/2012,67,10,71,65,45,44,66,0,0,Hard,5
Nadal,1/26/2012,77,4,34,68,62,36,37,0,1,Hard,4
Nadal,1/24/2012,71,6,30,76,48,57,38,0,1,Hard,4
Nadal,1/22/2012,80,4,14,80,64,20,27,1,1,Hard,3
Nadal,1/20/2012,80,2,19,85,46,27,50,1,1,Hard,3
Nadal,1/18/2012,63,2,17,74,55,36,60,1,1,Hard,3
Nadal,1/16/2012,67,9,14,85,65,42,60,1,1,Hard,3
Nadal,9/12/2011,68,7,37,52,42,32,42,0,0,Hard,4
Nadal,9/10/2011,66,3,23,71,56,31,33,1,1,Hard,4
Nadal,9/9/2011,67,6,13,84,54,35,85,1,1,Hard,4
Nadal,9/8/2011,72,5,11,81,55,33,50,1,1,Hard,3
Nadal,9/4/2011,76,2,18,69,45,22,63,1,1,Hard,3
Nadal,9/2/2011,69,3,5,82,53,24,57,1,1,Hard,2
Nadal,8/30/2011,64,6,16,65,48,18,36,1,1,Hard,3
Nadal,7/3/2011,78,5,15,67,44,21,83,0,0,Grass,4
Nadal,7/1/2011,67,6,7,81,57,37,62,0,1,Grass,4
Nadal,6/29/2011,67,5,13,77,58,43,50,1,1,Grass,4
Nadal,6/27/2011,72,13,16,78,54,61,20,1,1,Grass,4
Nadal,6/25/2011,70,7,3,83,66,30,50,1,1,Grass,3
Nadal,6/22/2011,70,9,7,77,65,38,35,1,1,Grass,3
Nadal,6/20/2011,67,4,14,76,56,35,70,1,1,Grass,3
Nadal,6/5/2011,72,4,27,65,51,39,46,1,1,Clay,4
Nadal,6/3/2011,73,2,31,68,43,34,46,1,1,Clay,3
Nadal,6/1/2011,76,4,13,63,71,24,54,1,1,Clay,3
Nadal,5/30/2011,68,2,24,81,65,23,30,1,1,Clay,3
Nadal,5/28/2011,72,18,62,62,28,28,90,1,1,Clay,3
Nadal,5/26/2011,68,6,26,66,45,37,63,1,1,Clay,3
Nadal,5/24/2011,72,8,27,81,70,50,33,1,1,Clay,5
Nadal,1/26/2011,66,2,34,55,37,19,33,0,0,Hard,3
Nadal,1/24/2011,72,3,21,79,47,26,35,1,1,Hard,3
Nadal,1/22/2011,57,4,32,67,53,32,36,1,1,Hard,3
Nadal,1/20/2011,62,7,25,82,54,36,53,1,1,Hard,3
Nadal,1/18/2011,54,4,10,84,56,25,100,1,1,Hard,2
Federer,1/25/2013,61,5,60,73,42,43,33,0,0,Hard,5
Federer,1/23/2013,61,6,47,77,55,49,22,1,1,Hard,5
Federer,1/21/2013,64,14,12,90,75,34,42,1,1,Hard,3
Federer,1/19/2013,69,11,20,87,44,46,18,1,1,Hard,3
Federer,1/17/2013,68,9,42,75,65,35,23,1,1,Hard,3
Federer,1/15/2013,63,3,18,84,60,25,50,1,1,Hard,3
Federer,9/5/2012,63,7,40,71,45,44,66,0,0,Hard,4
Federer,9/1/2012,67,7,19,87,62,30,37,1,1,Hard,3
Federer,8/30/2012,68,15,18,78,62,44,41,1,1,Hard,3
Federer,8/27/2012,69,7,24,83,60,27,55,1,1,Hard,3
Federer,7/8/2012,68,12,38,75,48,62,33,0,1,Grass,4
Federer,7/6/2012,64,12,10,75,72,31,27,1,1,Grass,4
Federer,7/4/2012,62,2,13,87,52,25,30,1,1,Grass,3
Federer,7/2/2012,70,9,18,73,57,45,85,1,1,Grass,4
Federer,6/29/2012,64,14,29,79,56,53,38,0,1,Grass,5
Federer,6/27/2012,68,13,8,90,57,35,75,1,1,Grass,3
Federer,6/25/2012,68,9,10,72,72,33,44,1,1,Grass,3
Federer,6/8/2012,55,9,46,56,44,33,50,0,0,Clay,3
Federer,6/5/2012,57,11,43,68,60,59,44,0,1,Clay,5
Federer,6/3/2012,60,12,51,81,63,59,30,0,1,Clay,4
Federer,6/1/2012,57,7,25,81,65,54,35,1,1,Clay,4
Federer,5/30/2012,63,15,40,78,65,50,33,1,1,Clay,4
Federer,5/28/2012,59,7,47,66,51,38,50,1,1,Clay,3
Federer,1/26/2012,63,11,63,66,55,46,30,1,0,Hard,4
Federer,1/24/2012,57,5,22,88,57,38,62,1,1,Hard,3
Federer,1/22/2012,57,13,28,84,56,45,60,1,1,Hard,3
Federer,1/20/2012,61,9,13,80,73,55,33,1,1,Hard,3
Federer,1/16/2012,63,14,33,80,56,43,46,1,1,Hard,3
Federer,9/10/2011,60,11,59,67,56,49,60,1,0,Hard,5
Federer,9/8/2011,72,5,30,77,41,29,46,1,1,Hard,3
Federer,9/5/2011,66,14,21,84,65,42,50,1,1,Hard,3
Federer,9/3/2011,58,6,24,74,62,31,38,1,1,Hard,4
Federer,9/1/2011,71,6,26,88,82,31,45,1,1,Hard,3
Federer,8/29/2011,62,6,35,71,43,36,38,1,1,Hard,3
Federer,6/29/2011,75,17,11,77,70,57,100,1,0,Grass,5
Federer,6/27/2011,62,14,25,84,51,54,42,0,1,Grass,4
Federer,6/25/2011,70,14,14,77,53,36,71,1,1,Grass,3
Federer,6/23/2011,64,11,10,85,78,38,50,1,1,Grass,3
Federer,6/21/2011,71,12,23,89,73,53,42,1,1,Grass,3
Federer,6/5/2011,63,11,56,68,39,53,33,0,1,Clay,4
Federer,6/3/2011,64,18,46,76,50,48,16,1,1,Clay,4
Federer,5/31/2011,53,4,42,76,60,41,31,1,1,Clay,3
Federer,5/29/2011,63,8,25,81,64,32,83,1,1,Clay,3
Federer,5/27/2011,67,10,20,84,56,37,83,1,1,Clay,3
Federer,5/25/2011,69,7,15,81,63,33,53,1,1,Clay,3
Federer,5/23/2011,62,12,31,85,60,40,22,1,1,Clay,3
Federer,1/27/2011,60,5,44,71,47,35,30,0,0,Hard,3
